Question,Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points,Description
Announcement in the shopping centre. What are they going to open next week?,Multiple choice,A mall,A club,A coffee shop,,A coffee shop,1,
A woman is talking to a shop assistant. Why does the woman return the dress?,Multiple choice,Because of its size,Because of its color,Because of its pattern,,Because of its size,1,"Người phụ nữ trả lại chiếc váy vì mặc dù mẫu mã đẹp, nhưng váy quá nhỏ so với kích cỡ của cô."
Tom is talking with his friend about his teachers. What is his favourite teacher?,Multiple choice,Miss Taylor,Mr. Styles,Miss Brown,,Miss Brown,1,Tom yêu thích cô Brown vì cô ấy luôn khuyến khích học sinh đặt câu hỏi và thể hiện bản thân.
A woman is talking to the police. What did she lose?,Multiple choice,A necklace,A bag,A wallet,,A bag,1,Người phụ nữ mất túi xách trong khi đi mua sắm và để quên nó trên tàu.
A man is talking to his friend. Why does he choose to be a doctor?,Multiple choice,To help people,To make his family proud,To make a lot of money,,To help people,1,Người đàn ông chọn làm bác sĩ vì muốn giúp đỡ mọi người.
David is in an interview. What was his last job?,Multiple choice,An engineer,Teacher,An electrician,,An electrician,1,"David nói về công việc hiện tại, anh chuyển sang làm thợ điện."
A tour guide is introducing a famous building. What is this building currently used for?,Multiple choice,A museum,A department store,A cinema,,A department store,1,"Tòa nhà đã được chuyển đổi qua nhiều mục đích, hiện nay là trung tâm mua sắm."
A saleswoman is talking to her customer. How much is the cheapest computer in the shop?,Multiple choice,135 pounds,145 pounds,155 pounds,,135 pounds,1,"Máy tính rẻ nhất có giá £135, phù hợp cho các tác vụ đơn giản."
Dan is going to university. Where should Dan turn right?,Multiple choice,At the Main Street,At the hospital,At the traffic lights,,At the traffic lights,1,Dan phải rẽ phải khi đến đèn giao thông sau khi đi thẳng qua Phố Chính.
A man is calling his friend. Where will they meet?,Multiple choice,At school,By the park,In the cafe,,By the park,1,Họ đổi ý và gặp nhau gần công viên để tận hưởng không khí trong lành.
A man is calling his mother. How long will he be late?,Multiple choice,10 minutes,15 minutes,20 minutes,,10 minutes,1,Người đàn ông sẽ đến muộn 10 phút vì kẹt xe.
A woman is going to the cinema with her husband. What time does the movie begin?,Multiple choice,6:40,7:00,9:20,,6:40,1,"Bộ phim bắt đầu lúc 6:40, chứ không phải 7:00 như cô nghĩ."
A teacher is talking to her students. Where are the students now?,Multiple choice,At school,In a townhouse,In a museum,,In a townhouse,1,Các học sinh hiện đang tham quan một ngôi nhà phố thay vì đến bảo tàng.
Louis is having dinner in a new restaurant. What is his opinion about that restaurant?,Multiple choice,The price is cheap,The food is delicious,The service is slow,,The service is slow,1,Louis không hài lòng với nhà hàng mới vì dịch vụ chậm.
Which room is the class in?,Multiple choice,201,301,103,,301,1,Phòng 301.
An artist is talking about her job. What is unique about her job?,Multiple choice,She works from 9 to 5,She doesn't work on weekends,She works irregular hours,She works all day,She works irregular hours,1,
Number of inhabitants in a countryside?,Multiple choice,10000,1000,100000,,10000,1,10000 người.
What time will I see you?,Multiple choice,6h30,6h00,3h30,,6h30,1,6:30.
Two people buy something together?,Multiple choice,Trousers,Shorts,Shirt,,Trousers,1,Mua quần dài.
